n,n commande,date creation,date expedition,dernier statut,date dernier statut,date livraison/echec,prenom,nom,Gender,telephone,adresse,commune,wilaya,designation,prix,type,Brandt,frais livraison,freeshipping,paiement,id importation,type colis,premiere tentative,date premiere tentative,deuxieme tentative,date deuxieme tentative,troisieme tentative,date troisieme tentative
1,1015,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-10,2022-03-06,,Alfredo,H,7483588267,centre ville,Ghardaia,Ghardaia,"Lenovo Ideapad 110 15.6""- Intel Celeron N3060 - 500 Go - 2 Go - Noir - Freedos - Garantie 1 An",44900,pc,Lenovo,1050,oui,paye,0,ecommerce,Tentative echouee (Client absent (reporte)),2022-03-03,Tentative echouee (Client absent (reporte)),2022-03-05,Echec livraison (Client absent (reporte)),2022-03-06
2,994,2022-03-01,2022-03-01,Livre,2022-03-03,2022-03-03,,Cara,H,8158714936,centre ville,Ain Kercha,Oum El Bouaghi,Asus Vivobook X540N - Celeron N3350 - 4Go - 500Go - 15’ HD -Wifi - Endless - Gris - Garantie 1An,42700,pc,Asus,900,oui,paye,0,ecommerce,Livre,2022-03-03,,,,
3,985,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-08,2022-03-03,,Torin,H,4055096570,Ngaoess wlila Batna,N'Gaous,Batna,"Asus VivoBook X540M 15.6"" - Celeron N4000 - 4 Go - 1 To - Win 10 - Noir - Garantie 1 An",49900,pc,Asus,900,oui,paye,0,ecommerce,Echec livraison (Annule par le client),2022-03-03,,,,
4,973,2022-03-01,2022-03-01,Livre,2022-03-02,2022-03-02,,Vale,H,6242407308,chaibia ,Ouled Chebel,Alger,"Lenovo Laptop Gaming Legion Y530 15,6"" - I7-8750HQ - 16 Go - 2 To + 256 SSD - Noir - Garantie 1 An",250000,pc,Lenovo,750,oui,paye,0,ecommerce,Livre,2022-03-02,,,,
5,#1120,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-10,2022-03-06,,Gal,H,,nouvelle ville ali mendjli,Constantine,Constantine,"Monueal Ordinateur De Bureau 19"" - Pc Composee - Core2 Duo E6300 - 2G - 160G - Noir - Garantie 1 An",27000,pc,Monueal,900,oui,paye,0,ecommerce,Tentative echouee (Client ne repond pas),2022-03-03,Tentative echouee (Telephone injoignable),2022-03-05,Echec livraison (Client ne repond pas),2022-03-06
6,#1141,2022-03-01,2022-03-01,Livre,2022-03-05,2022-03-05,,,H,2484607334,centre ville,Skikda,Skikda,Lenovo Lenovo Thinkpad T480 - 14.0'' Hd - Core I5 8250U - 8 Gb - 256 Gb Ssd - Intel 620 - Garantie 3 Ans,270000,pc,Lenovo,900,oui,paye,0,ecommerce,Tentative echouee (Commune erronee),2022-03-03,Livre,2022-03-05,,
7,#1153,2022-03-01,2022-03-01,Livre,2022-03-02,2022-03-02,,Florry,H,1668227969,beni saf ville,Beni Saf,Ain Temouchent,Jenika Desahbille 3 Pcs - 37141 - Rouge,1699,Mode Femme,Jenika,750,oui,paye,0,ecommerce,Livre,2022-03-02,,,,
8,#1148,2022-03-01,2022-03-01,Livre,2022-03-02,2022-03-02,nassim,Bethanne,H,,( repere  blassa ybedlou fih euro ),Alger Centre,Alger,Miriale Soutien-Gorge- Cotton De Luxe Adel -Gris,700,Mode Femme,Miriale,750,oui,paye,0,ecommerce,Livre,2022-03-02,,,,
9,#1151,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-09,2022-03-06,,Denice,F,3184241971,centre ville,Constantine,Constantine,Nebula Nuisette avec Dentelles - Noir,1399,Mode Femme,Nebula,900,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-03,Tentative echouee (Telephone injoignable),2022-03-05,Echec livraison (Telephone injoignable),2022-03-06
10,cmndByphone/Z,2022-03-01,2022-03-01,Retourne au vendeur,2022-03-09,2022-03-06,Mohamed,Quentin,H,,Hai Ain elchih batiment 395 N 4,Djelfa,Djelfa,Jennyfer Ceinture -92Licc -Noir,950,Mode Femme,Jennyfer,1050,oui,paye,0,ecommerce,Tentative echouee (Telephone injoignable),2022-03-03,Tentative echouee (Client absent (reporte)),2022-03-05,Echec livraison (Client absent (reporte)),2022-03-06
